predicted_answer,compression_ratio
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
Unanswerable,0.95
unanswerable,0.95
"CNN/DailyMail, NYT, XSum",0.95
unanswerable,0.95
The resulting model is a greedy ensemble formed by averaging the predictions of a selected subset of single models.,0.95
unanswerable,0.95
English,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
The dataset used includes a set of utterances crawled from Twitter and a manually created dataset for the Wizard of Oz experiment.,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
"Human preference, coherence, and goal accomplishment.",0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
on the logos (logos),0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
"promotes explainable AI, similar to pankajgupta:CrossRE2019 unanswerable",0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
"Elias Wright, Giancarlo Ferrari, and others.",0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
"Rosette, spaCy, Twitter NLP API, Stanford NLP, spaCy NER, spaCy sentiment analysis, spaCy named entity recognition, TensiStrength, spaCy API, spaCy NER API, spaCy sentiment API, spaCy NER model, spaCy sentiment model, spaCy NER pipeline, spaCy sentiment pipeline, spaCy NER component, spaCy sentiment component, spaCy NER tagger, spaCy sentiment classifier, spaCy NER parser, spaCy sentiment tagger, spaCy NER interpreter, spaCy sentiment interpreter, spaCy NER attribute, spaCy sentiment attribute",0.95
SQuAD (unanswerable),0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
Invertible transformations.,0.95
unanswerable,0.95
unanswerable,0.95
"Vanilla end-to-end models, many previous methods, and the ""many"" baseline models that sufficiently utilize pre-training.",0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
Unanswerable.,0.95
unanswerable,0.95
Unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
Unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
Yes,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
Robustness of a model is defined by its sensitivity to the true distribution of class labels.,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
Knowledge base,0.95
unanswerable,0.95
unanswerable,0.95
Natural Language,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
It can detect biases in the process of collecting or annotating datasets.,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
Yes,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
"TF-IDF features are used, implied by the context of XGBoost and linear SVM classifiers.",0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
Unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
NUDENT and NERTEC,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
Additional experiments on transforming from irony to non-irony are conducted.,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
Li and Roth BIBREF6 model,0.95
unanswerable,0.95
unanswerable,0.95
"EUSBoost, MWMOTE",0.95
yes,0.95
unanswerable,0.95
unanswerable,0.95
The state-of-the-art results on the Wall Street Journal (WSJ) subset of the Penn Treebank.,0.95
unanswerable,0.95
SimpleQuestions and WebQSP,0.95
Declining,0.95
Ann is Henry's mother.,0.95
On Atlas' mountain.,0.95
To persuade Socrates to escape.,0.95
To gain revenge and fulfill his pledge.,0.95
The story does not mention Mortimer Trefinnis' sister or when she died.,0.95
Mikael,0.95
Dana Barrett,0.95
American,0.95
Wordsworth,0.95
Because Anthony Rogers has knowledge of the 20th Century.,0.95
None.,0.95
Not mentioned in the story.,0.95
Not mentioned in the story.,0.95
Not mentioned in the story.,0.95
"The baby buggy vibrates, causing the PKE meter to spike, and the slime enters through the broken window.",0.95
Elder Childers argues about the mango tree.,0.95
Because Anthony Rogers has knowledge of the 20th Century.,0.95
A ring,0.95
Three,0.95
Devil's-foot root poisoning.,0.95
2419 A.D.,0.95
He didn't run to Texas; the story is set in Texas.,0.95
Going against a friend,0.95
Aunt,0.95
Journalist,0.95
Obedience to law and contract.,0.95
Not killed in the story.,0.95
Destroyed it.,0.95
Blank,0.95
Soames believes Beerbohm invented him.,0.95
One week,0.95
JOF,0.95
Not mentioned in the story.,0.95
Her composed demeanor and intelligence.,0.95
Ruth's potential to commit perjury.,0.95
By a locust.,0.95
To investigate the Cornish Horror.,0.95
Vigo,0.95
Through religious and philosophical texts.,0.95
Gracie Mansion,0.95
Sadako Yamamura,0.95
In prison.,0.95
Cursed by the ring.,0.95
Story does not mention Bennett Landsmann or Seth Lazurus.,0.95
"Dressed in black, never changed.",0.95
One-eyed Hans,0.95
Through religious and philosophical texts.,0.95
Methodist,0.95
Miriam Hope,0.95
"Goodness triumphs over violence, redemption, and the impact of history.",0.95
Tomoko does not die.,0.95
Blank,0.95
The Nagras gang.,0.95
Bill leaves Chicago with Abby.,0.95
Not applicable. There is no argument between Ray and Winston in the story.,0.95
Takes advantage of benefactors' generosity,0.95
William Falder,0.95
Not mentioned in the story.,0.95
A restored Statue of Liberty.,0.95
A visionary rhyme,0.95
In the sundial.,0.95
Jezebel greeted him.,0.95
"Eatonville, Florida",0.95
Dr. Mortimer,0.95
Jacob killed himself.,0.95
Doctor,0.95
Reject the application for The Coxon Fund.,0.95
To William Platt and her mother.,0.95
One week,0.95
Honorine,0.95
Copies the tape,0.95
A knight,0.95
Follow the laws and justice.,0.95
By falling in the outer office.,0.95
Copying the tape,0.95
Brenda Tregennis,0.95
Not mentioned in the story.,0.95
Outside with Henry.,0.95
Casting director,0.95
Han air raid technology,0.95
Izu Peninsula,0.95
Elvis's snare drum voice.,0.95
100 years,0.95
Housekeeper stepped in water.,0.95
traitor,0.95
James How,0.95
Dana Barrett,0.95
His failure to be recognized in his own time.,0.95
Not mentioned,0.95
Wyoming Gang,0.95
INT. BAR - NIGHT,0.95
No information provided.,0.95
He will not fulfill his agreements with the Laws of Athens.,0.95
Did not become a notary.,0.95
No one moved to Chicago to perform mercy killings.,0.95
Pierre Grassou is a genre painter of talent and industry.,0.95
Plagiarism in his works,0.95
Lee Donowitz,0.95
To investigate Ruth's potential involvement in his death.,0.95
Ruth Honeybone,0.95
Not mentioned in the story.,0.95
To forgive Henry,0.95
"No chess game, no request made.",0.95
Kathy defends Lazarus.,0.95
To struggle for resignation.,0.95
A knight,0.95
To fulfill a duty.,0.95
Dr. Leonidas W. Altman,0.95
