run,press,compression_ratio,n,accuracy,ci95,accuracy_strict,marker_rate,n_fallback,n_looks_truncated,n_generation_failed,measured_context_compression,effective_retention,pct_examples_degenerate,pct_examples_press_skipped,compress_questions,batch_size,n_batch_size_backoffs,dataset_sha
layerdkv_w4_cr0.20,layer_defensivekv,0.2,1319,84.23,1.97,83.85,96.97,40,37,0,0.2,0.59,0.0,0.0,True,32,0,fe0fc2f22dea
layerdkv_w4_cr0.40,layer_defensivekv,0.4,1319,84.08,1.97,83.93,97.5,33,28,0,0.4,0.5824,0.0,0.0,True,32,0,fe0fc2f22dea
layerdkv_w4_cr0.60,layer_defensivekv,0.6,1319,82.56,2.05,82.11,97.04,39,29,0,0.6,0.5744,0.0,0.0,True,32,0,fe0fc2f22dea
layerdkv_w4_cr0.80,layer_defensivekv,0.8,1319,31.16,2.5,28.96,67.17,425,372,0,0.8,0.6278,0.0,0.0,True,32,0,fe0fc2f22dea
layerdkv_w4_cr0.90,layer_defensivekv,0.9,1319,3.18,0.95,1.14,24.87,962,733,0,0.9,0.7034,0.0,0.0,True,32,0,fe0fc2f22dea
dkv_w4_cr0.20,defensivekv,0.2,1319,84.76,1.94,84.46,97.04,39,34,0,0.2003,0.5931,0.0,0.0,True,32,0,fe0fc2f22dea
dkv_w4_cr0.40,defensivekv,0.4,1319,81.65,2.09,81.12,96.74,43,37,0,0.4003,0.5865,0.0,0.0,True,32,0,fe0fc2f22dea
dkv_w4_cr0.60,defensivekv,0.6,1319,76.04,2.3,75.59,95.98,53,45,0,0.6003,0.5828,0.0,0.0,True,32,0,fe0fc2f22dea
dkv_w4_cr0.80,defensivekv,0.8,1319,11.52,1.72,7.35,41.47,764,697,0,0.8005,0.6765,0.0,0.0,True,32,0,fe0fc2f22dea
dkv_w4_cr0.90,defensivekv,0.9,1319,3.11,0.94,1.29,30.17,902,688,0,0.9005,0.6926,0.0,0.0,True,32,0,fe0fc2f22dea
criticalkv_w4_cr0.20,criticalkv,0.2,1319,81.88,2.08,81.8,96.44,46,39,0,0.2026,0.5904,0.0,0.0,True,32,0,fe0fc2f22dea
criticalkv_w4_cr0.40,criticalkv,0.4,1319,59.14,2.65,58.76,85.67,185,173,0,0.4026,0.606,0.0,0.0,True,32,0,fe0fc2f22dea
criticalkv_w4_cr0.60,criticalkv,0.6,1319,31.24,2.5,30.4,71.8,366,342,0,0.6025,0.6257,0.0,0.0,True,32,0,fe0fc2f22dea
criticalkv_w4_cr0.80,criticalkv,0.8,1319,6.97,1.37,4.62,49.81,657,554,0,0.8038,0.6673,0.0,0.0,True,32,0,fe0fc2f22dea
criticalkv_w4_cr0.90,criticalkv,0.9,1319,3.26,0.96,0.83,22.74,998,514,0,0.9037,0.6586,0.0,0.0,True,32,0,fe0fc2f22dea
efficient_adasnapkv_w4_cr0.20,efficient_adasnapkv,0.2,1319,75.82,2.31,75.44,93.86,79,79,0,0.2003,0.5912,0.0,0.0,True,32,0,fe0fc2f22dea
efficient_adasnapkv_w4_cr0.40,efficient_adasnapkv,0.4,1319,52.77,2.69,52.16,85.52,187,178,0,0.4003,0.6025,0.0,0.0,True,32,0,fe0fc2f22dea
efficient_adasnapkv_w4_cr0.60,efficient_adasnapkv,0.6,1319,23.96,2.3,22.29,67.32,420,370,0,0.6003,0.633,0.0,0.0,True,32,0,fe0fc2f22dea
efficient_adasnapkv_w4_cr0.80,efficient_adasnapkv,0.8,1319,5.16,1.19,3.18,44.81,725,560,0,0.8005,0.6716,0.0,0.0,True,32,0,fe0fc2f22dea
efficient_adasnapkv_w4_cr0.90,efficient_adasnapkv,0.9,1319,2.2,0.79,0.99,31.31,899,368,0,0.9005,0.6422,0.0,0.0,True,32,0,fe0fc2f22dea
snapkv_w4_cr0.20,snapkv,0.2,1319,76.95,2.27,76.5,94.92,66,59,0,0.2026,0.5947,0.0,0.0,True,32,0,fe0fc2f22dea
snapkv_w4_cr0.40,snapkv,0.4,1319,50.95,2.7,50.34,83.55,211,200,0,0.4026,0.6079,0.0,0.0,True,32,0,fe0fc2f22dea
snapkv_w4_cr0.60,snapkv,0.6,1319,21.61,2.22,20.09,68.08,413,380,0,0.6025,0.6311,0.0,0.0,True,32,0,fe0fc2f22dea
snapkv_w4_cr0.80,snapkv,0.8,1319,4.09,1.07,2.43,44.28,726,598,0,0.8038,0.6788,0.0,0.0,True,32,0,fe0fc2f22dea
snapkv_w4_cr0.90,snapkv,0.9,1319,1.9,0.74,0.53,31.46,902,406,0,0.9037,0.645,0.0,0.0,True,32,0,fe0fc2f22dea
streaming_cr0.20,streaming_llm,0.2,1319,84.46,1.96,84.38,97.57,32,30,0,0.2025,0.5803,0.0,0.0,True,32,0,fe0fc2f22dea
streaming_cr0.40,streaming_llm,0.4,1319,82.87,2.03,65.66,73.31,352,30,0,0.4025,0.5535,0.0,0.0,True,32,0,fe0fc2f22dea
streaming_cr0.60,streaming_llm,0.6,1319,66.79,2.54,2.88,4.93,1254,45,0,0.6026,0.5626,0.0,0.0,True,32,0,fe0fc2f22dea
streaming_cr0.80,streaming_llm,0.8,1319,3.56,1.0,0.08,7.58,1217,325,0,0.8039,0.6444,0.0,0.0,True,32,0,fe0fc2f22dea
streaming_cr0.90,streaming_llm,0.9,1319,1.97,0.75,0.53,12.51,1096,272,0,0.9035,0.6171,0.0,0.0,True,32,0,fe0fc2f22dea
