predicted_answer,compression_ratio
unanswerable,0.9
unanswerable,0.9
by 68.8% to 71.8%,0.9
ensemble models of variant models and features,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
"CNN/Daily Mail, NYT, XSum",0.9
unanswerable,0.9
"The algorithm started with the best performing model and added the next best model that improved validation performance, selecting up to 5 models in total.",0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
yes,0.9
unanswerable,0.9
unanswerable,0.9
SMT models,0.9
"Incorporating neutral features, maximum entropy regularization, and KL divergence.",0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
"accuracy, LAS score",0.9
unanswerable,0.9
simple gaze-based features and complex features derived from a graph structure,0.9
character-based,0.9
unanswerable,0.9
unanswerable,0.9
"over 20,000",0.9
Coherence and goal accomplishment based on the recipe name.,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
Unanswerable.,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
non-English language and English,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
argument components,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
two different datasets,0.9
unanswerable,0.9
Through BLEU and CoefVar metrics.,0.9
using dual RNNs and then combines the information from these sources using a feed-forward neural model,0.9
unanswerable,0.9
unanswerable,0.9
tweets that became viral during the day of the 2016 US presidential election,0.9
unanswerable,0.9
Sharif DeepMine company,0.9
machine learning and deep learning methods,0.9
unanswerable,0.9
character-based encoder-decoder model,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
"CNN-RNN based image-to-poem net for painting embedding, seq2seq model for language style transfer",0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
They presented a new context representation for relation classification.,0.9
unanswerable,0.9
unanswerable,0.9
"65% of the speakers are men, speaking more than 75% of the time.",0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
"Stanford NLP group, CogComp-NLP, TensiStrength",0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
"CSAT, 20newsgroups, Fisher",0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
SVMs and neural networks,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
combination of rewards for reinforcement learning is not explicitly stated,0.9
a solution would be to expand the style transfer dataset,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
semantic meaning of words,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
High agreement across probes and human scores correlate with model trends suggest quality control.,0.9
unanswerable,0.9
unanswerable,0.9
novel tagging scheme,0.9
unanswerable,0.9
Robustness of a model is defined as its ability to handle unbalanced corpora and improve performance when leveraging prior knowledge.,0.9
"InferSent, Universal Sentence Encoder",0.9
unanswerable,0.9
Task 1,0.9
unanswerable,0.9
HR-BiLSTM,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
Sumy package algorithms,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
examining the results shows the ability of the model to detect some biases in the process of collecting or annotating datasets.,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
different learning models,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
unanswerable,0.9
RNN-based semi-character word recognizers,0.9
