predicted_answer,compression_ratio
":

1. 5521644 (unequaled-atmosphere)
2. 2532210 (adamant-waveform)
3. 1348050 (flagrant-woodshed)
4. 1674975 (smelly-fascia)",0.9
":

1. 6386463 (inexpensive-altitude)
2. 2754894 (uncovered-graduation)
3. 7850944 (juicy-castanet)
4. 8885465 (callous-sesame)",0.9
":

1. 2477398 (onerous-darkness)
2. 9633492 (melted-paint)
3. 5234550 (hurt-shearling)
4. 2944841 (illustrious-outlaw)",0.9
":

1. arrogant-shortage: 4415140
2. graceful-canal: 3198037
3. tall-broadcast: 8416216
4. hard-attempt: 8350368",0.9
":

1. 4769851 (for capricious-creme brulee)
2. 7844947 (for scintillating-pocketbook)
3. 8741810 (for comfortable-deviance)
4. 1229419 (for scattered-trench)",0.9
":

4197911 (ludicrous-cobbler)
9526867 (stale-trim)
3426689 (scientific-in-laws)
8663605 (fresh-dynasty)",0.9
":

1. 9125900 (for rough-scene)
2. 9214801 (for sour-mechanic)
3. 8491822 (for defective-presentation)
4. 6008935 (for half-part)",0.9
":

1. 5006492 (wakeful-crew)
2. 6338112 (amused-veto)
3. 7425184 (sleepy-spice)
4. 7891662 (flipped-out-ranger)",0.9
":

1. 3589751 (miscreant-shorts)
2. 3418526 (absorbed-watercress)
3. 8665981 (reminiscent-cilantro)
4. 2672884 (numerous-dwell)",0.9
":

- 6312692 (for lovely-riverbed)
- 9186400 (for tame-sonnet)
- 9952696 (for uninterested-organising)
- 1602286 (for ruddy-segment)",0.9
":

- 6024207 (volatile-text)
- 3791137 (obedient-inflammation)
- 2686231 (cheerful-princess)
- 1771600 (adjoining-security)",0.9
":

- shy-motorboat: 4020853
- righteous-offense: 7913081
- boundless-osprey: 7418028
- doubtful-cap: 3937176",0.9
":

1. 5825658 (overt-captain)
2. 1157662 (unadvised-exile)
3. 3650391 (upbeat-pasta)
4. 5283671 (ossified-breakdown)",0.9
":

1. 7398231 (foolish-crocodile)
2. 7454081 (erect-director)
3. 6068760 (optimal-razor)
4. 2789344 (plastic-exile)",0.9
":

- 9333700 (stingy-osprey)
- 4860745 (handsomely-secretary)
- 6910964 (stormy-hometown)
- 4189885 (fast-realm)",0.9
":

1. 5951131 (cagey-headphones)
2. 3204724 (yummy-establishment)
3. 7970985 (impartial-swimming)
4. 7121355 (sneaky-identification)",0.9
":

1. 9084065 (giant-pick)
2. 6682698 (hellish-stab)
3. 3361510 (boiling-bill)
4. 8857298 (condemned-friendship)",0.9
":

1. 3073474 (roomy-dynamo)
2. 5398338 (unequaled-reasoning)
3. 7183847 (onerous-component)
4. 7392547 (somber-operation)",0.9
":

1. 7850067 (tight-miracle)
2. 2060605 (threatening-oats)
3. 6069909 (warm-pelican)
4. 8789116 (teeny-tiny-memo)",0.9
":

- 3592464 (sparkling-astrolabe)
- 8610879 (macho-hive)
- 3276065 (rotten-lace)
- 8031780 (likeable-paper)",0.9
":

- 2666893 (for laughable-feedback)
- 8438733 (for fantastic-moustache)
- 7162857 (for various-opportunist)
- 4961312 (for obeisant-radish)",0.9
":

- 1358318 (testy-derivative)
- 6595355 (aromatic-logo)
- 3112652 (fresh-boar)
- 4558545 (calm-executive)",0.9
":

- 3475548 (for imported-chemistry)
- 1047572 (for square-reduction)
- 5205279 (for curly-prince)",0.9
":

1. 3923366 (absorbing-lemur)
2. 1879109 (goofy-approach)
3. 2906718 (reminiscent-extension)
4. 8062546 (cruel-probe)",0.9
":

1. 9035982 (bad-comportment)
2. 9748499 (wrong-wraparound)
3. 1522621 (therapeutic-doctrine)
4. 8684678 (hissing-submarine)",0.9
":

1. loving-string: 9901266
2. straight-veto: 3488628
3. grouchy-wagon: 6455706
4. berserk-conductor: 3117143",0.9
":

1. 8608449 (invincible-webpage)
2. 7942639 (flagrant-incision)
3. 7979148 (marked-tentacle)
4. 8575834 (new-passbook)",0.9
